#  cD     cE       density     E/A_snm       E/A_pnm 
-3.00   -1.00     0.15    -12.31769496     12.23089760 
-3.00   -1.00     0.17    -12.26676266     14.05818986 
-3.00   -1.00     0.19    -11.84571479     16.14494974 
-3.00   -1.00     0.21    -11.04062452     18.47499718 
-3.00   -1.00     0.23    -9.84855001     21.02020187 
-2.50   -1.00     0.15    -12.10424578     12.23089760 
-2.50   -1.00     0.17    -12.04661827     14.05818986 
-2.50   -1.00     0.19    -11.60897602     16.14494974 
-2.50   -1.00     0.21    -10.77727710     18.47499718 
-2.50   -1.00     0.23    -9.54964161     21.02020186 
-2.00   -1.00     0.15    -11.96056684     12.23089760 
-2.00   -1.00     0.17    -11.91241839     14.05818986 
-2.00   -1.00     0.19    -11.47691553     16.14494974 
-2.00   -1.00     0.21    -10.64042363     18.47499718 
-2.00   -1.00     0.23    -9.40289356     21.02020186 
-1.50   -1.00     0.15    -11.88233164     12.23089760 
-1.50   -1.00     0.17    -11.85954552     14.05818986 
-1.50   -1.00     0.19    -11.44489100     16.14494974 
-1.50   -1.00     0.21    -10.62583261     18.47499718 
-1.50   -1.00     0.23    -9.40519634     21.02020186 
-1.00   -1.00     0.15    -11.86607497     12.23089760 
-1.00   -1.00     0.17    -11.88444757     14.05818986 
-1.00   -1.00     0.19    -11.50956557     16.14494974 
-1.00   -1.00     0.21    -10.73086724     18.47499718 
-1.00   -1.00     0.23    -9.55538494     21.02020186 
-0.50   -1.00     0.15    -11.90903141     12.23089760 
-0.50   -1.00     0.17    -11.98442111     14.05818986 
-0.50   -1.00     0.19    -11.66862196     16.14494974 
-0.50   -1.00     0.21    -10.95413986     18.47499718 
-0.50   -1.00     0.23    -9.85392250     21.02020186 
 0.00   -1.00     0.15    -12.00899899     12.23089760 
 0.00   -1.00     0.17    -12.15743472     14.05818986 
 0.00   -1.00     0.19    -11.92054560     16.14494974 
 0.00   -1.00     0.21    -11.29525585     18.47499717 
 0.00   -1.00     0.23    -10.30256175     21.02020186 
 0.50   -1.00     0.15    -12.16423268     12.23089760 
 0.50   -1.00     0.17    -12.40198910     14.05818986 
 0.50   -1.00     0.19    -12.26445554     16.14494973 
 0.50   -1.00     0.21    -11.75461375     18.47499717 
 0.50   -1.00     0.23    -10.90412784     21.02020186 
 1.00   -1.00     0.15    -12.37335202     12.23089760 
 1.00   -1.00     0.17    -12.71700630     14.05818986 
 1.00   -1.00     0.19    -12.69997375     16.14494973 
 1.00   -1.00     0.21    -12.33324947     18.47499717 
 1.00   -1.00     0.23    -11.66236277     21.02020186 
 1.50   -1.00     0.15    -12.63526699     12.23089760 
 1.50   -1.00     0.17    -13.10174122     14.05818986 
 1.50   -1.00     0.19    -13.22712011     16.14494973 
 1.50   -1.00     0.21    -13.03272896     18.47499717 
 1.50   -1.00     0.23    -12.58175344     21.02020185 
 2.00   -1.00     0.15    -12.94912452     12.23089759 
 2.00   -1.00     0.17    -13.55571146     14.05818986 
 2.00   -1.00     0.19    -13.84621735     16.14494973 
 2.00   -1.00     0.21    -13.85502539     18.47499717 
 2.00   -1.00     0.23    -13.66746184     21.02020185 
 2.50   -1.00     0.15    -13.31425659     12.23089759 
 2.50   -1.00     0.17    -14.07864173     14.05818986 
 2.50   -1.00     0.19    -14.55785481     16.14494973 
 2.50   -1.00     0.21    -14.80246224     18.47499717 
 2.50   -1.00     0.23    -14.92521511     21.02020185 
 3.00   -1.00     0.15    -13.73014414     12.23089759 
 3.00   -1.00     0.17    -14.67041906     14.05818986 
 3.00   -1.00     0.19    -15.36280370     16.14494973 
 3.00   -1.00     0.21    -15.87766259     18.47499717 
 3.00   -1.00     0.23    -16.36125510     21.02020185 
-3.00   -0.75     0.15    -13.32700917     12.23089760 
-3.00   -0.75     0.17    -13.42005038     14.05818986 
-3.00   -0.75     0.19    -13.17557852     16.14494973 
-3.00   -0.75     0.21    -12.57906620     18.47499717 
