#  cD     cE       density     E/A_snm       E/A_pnm     snm_converge_flag 
-3.00   -1.00     0.12    -11.44027575     0.00000000         1
-3.00   -1.00     0.14    -11.74533525     0.00000000         1
-3.00   -1.00     0.16    -11.68303307     0.00000000         1
-3.00   -1.00     0.18    -11.22866596     0.00000000         1
-3.00   -1.00     0.20    -10.36839271     0.00000000         1
-2.00   -1.00     0.12    -11.08038808     0.00000000         1
-2.00   -1.00     0.14    -11.37752985     0.00000000         1
-2.00   -1.00     0.16    -11.29198574     0.00000000         1
-2.00   -1.00     0.18    -10.79883945     0.00000000         1
-2.00   -1.00     0.20    -9.88505936     0.00000000         1
-1.00   -1.00     0.12    -10.89737208     0.00000000         1
-1.00   -1.00     0.14    -11.22291034     0.00000000         1
-1.00   -1.00     0.16    -11.15916387     0.00000000         1
-1.00   -1.00     0.18    -10.68321388     0.00000000         1
-1.00   -1.00     0.20    -9.78526726     0.00000000         1
 0.00   -1.00     0.12    -10.85823139     0.00000000         1
 0.00   -1.00     0.14    -11.24433645     0.00000000         1
 0.00   -1.00     0.16    -11.24471944     0.00000000         1
 0.00   -1.00     0.18    -10.84107871     0.00000000         1
 0.00   -1.00     0.20    -10.03024066     0.00000000         1
 1.00   -1.00     0.12    -10.93925898     0.00000000         1
 1.00   -1.00     0.14    -11.41638939     0.00000000         1
 1.00   -1.00     0.16    -11.52276629     0.00000000         1
 1.00   -1.00     0.18    -11.24794571     0.00000000         1
 1.00   -1.00     0.20    -10.60015456     0.00000000         1
 2.00   -1.00     0.12    -11.12350712     0.00000000         1
 2.00   -1.00     0.14    -11.72173176     0.00000000         1
 2.00   -1.00     0.16    -11.97668909     0.00000000         1
 2.00   -1.00     0.18    -11.88989734     0.00000000         1
 2.00   -1.00     0.20    -11.48750738     0.00000000         1
 3.00   -1.00     0.12    -11.39885958     0.00000000         1
 3.00   -1.00     0.14    -12.14854902     0.00000000         1
 3.00   -1.00     0.16    -12.59601998     0.00000000         1
 3.00   -1.00     0.18    -12.75991257     0.00000000         1
 3.00   -1.00     0.20    -12.69293132     0.00000000         1
